Serial,Device
T8600P102338033E,Backyard
T8600P1024260D5E,Backyard
T8160P1123332B02,Garage
T8162T1024451928,Back Gate
T8600P1023450AFB,Back Alleyway
T8600P10233811B3,Front Yard
T8600P1023452B26,Front Yard
T8600P10233808B2,Walkway
T8214510234057A4,Front Door
T8410P4224024456,Front Entrance
T8160T1224250195,Gateway
T8410P4224140C2E,Back Entrance
