date,calendar,heuristic,ml_model
2024-05-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-29,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-30,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-05-31,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-01,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-02,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-06,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-07,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-08,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-09,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-06-10,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-11,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-12,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-13,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-14,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-15,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-16,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-17,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-18,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-19,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-20,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-21,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-22,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-23,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-24,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-25,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-26,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-27,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-28,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-29,OCCUPIED,OCCUPIED,OCCUPIED
2024-06-30,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-01,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-02,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-03,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-04,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-05,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-06,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-07,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-08,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-09,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-10,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-11,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-12,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-13,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-14,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-15,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-16,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-17,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-18,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-19,OCCUPIED,OCCUPIED,OCCUPIED
2024-07-20,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-21,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-22,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2024-07-23,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
