date,calendar,heuristic,ml_model
2025-02-24,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-25,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-26,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-27,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-02-28,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-03-01,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-03-02,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-03-03,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-03-04,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-03-05,NOT_OCCUPIED,NOT_OCCUPIED,NOT_OCCUPIED
2025-03-06,OCCUPIED,OCCUPIED,OCCUPIED
2025-03-07,OCCUPIED,OCCUPIED,OCCUPIED
2025-03-08,OCCUPIED,OCCUPIED,OCCUPIED
2025-03-09,OCCUPIED,OCCUPIED,OCCUPIED
2025-03-10,OCCUPIED,OCCUPIED,OCCUPIED
